id,store_name,email,phone_number,address,product_name,price,quantity,category,description,date_added,date_updated,seller_name,rating,review_count,image_url,weight,dimensions,material,color
21,شركة الرياض للتجارة,ncwnqztr@gmail.com,+966 544680030,شارع الملك عبد العزيز، مكة المكرمة، 72106,مستندات حالة مراجعة موقع معالجة تقرير.,592.46,80,ألعاب,موافقة معايير موافقة فريق معالجة فاتورة نجاح. موافقة فريق خطوة ملف تحديث فاتورة مراجعة تسليم نشط.,2017-05-16,2015-10-18,محمد العتيبي,2,4,تسليم بيانات موقع تأكيد دعم نظام.,14.14,60 سم × 71 سم × 44 سم,زجاج,أسود
22,مؤسسة الحلول الرقمية,tdrsivqk@solix-agent.ai,+966 537269455,شارع التخصصي، القاهرة، 23236,متابعة نجاح تقرير موقع طلب حساب.,518.54,87,ألعاب,توصيل تحديث تقرير سائق حالة حالة معالجة شحن. معايير تسليم فاتورة نجاح نجاح نجاح خطوة نشط دعم سائق عميل توصيل.,2020-11-05,2016-11-12,ليلى رضوان,1,0,موقع معايير معايير بيانات ملف مالي.,13.03,8 سم × 47 سم × 35 سم,خشب,أخضر
23,شركة الرياض للتجارة,k61tjlob@outlook.com,+966 501247989,شارع التخصصي، جدة، 76396,توصيل فاتورة سائق فاتورة موقع سائق.,699.41,65,إلكترونيات,حالة توصيل نظام حساب نظام بيانات بيانات توصيل حساب نشط فريق تقرير. مالي مالي معالجة حالة نظام تسليم حساب سائق معايير حالة فريق. نجاح خطوة موافقة تحديث عمليات تأكيد موقع موقع متابعة سائق فاتورة مستندات,2023-11-19,2018-03-20,خالد محمود,4,55,بيانات تأكيد عميل معايير شحن طلب.,64.34,78 سم × 81 سم × 36 سم,حديد,أصفر
24,شركة التقنية المتقدمة,1kl315b5@yahoo.com,+966 537967132,طريق الملك فهد، دبي، 37057,معايير حساب مراجعة تحديث تحديث تسليم.,761.06,14,إلكترونيات,شحن تقرير توصيل مستندات ملف عمليات توصيل طلب. ملف متابعة موافقة حالة حالة تحديث تسليم. معايير معالجة طلب ملف خطوة نجاح مراجعة مستندات دعم شحن شحن.,2016-02-13,2019-09-21,يوسف الرشيد,1,5,تحديث تسليم حالة مستندات معالجة تسليم.,19.72,50 سم × 4 سم × 2 سم,حديد,أسود
25,شركة الرياض للتجارة,e77q2ybe@yahoo.com,+966 598126026,شارع جامعة الدول العربية، الإسكندرية، 35481,مستندات تحديث سائق بيانات عمليات تقرير.,537.22,95,ألعاب,تأكيد مستندات معالجة بيانات حالة نظام طلب معالجة فريق معايير. عميل فني نظام تحديث فني شحن موافقة.,2023-09-24,2024-01-07,مريم محمود,3,3,تأكيد ملف تأكيد عميل نظام مالي.,9.76,6 سم × 54 سم × 4 سم,بلاستيك,أزرق
26,مؤسسة الحلول الرقمية,ayy3qzgt@datafactory.io,+966 593083319,طريق الملك فهد، الدمام، 34719,فني مراجعة موافقة موقع فني تسليم.,391.78,38,أثاث,فاتورة متابعة تسليم تأكيد موقع. نشط ملف نجاح بيانات مستندات بيانات شحن عميل مستندات توصيل فريق مالي.,2019-07-21,2022-04-28,منى الغانم,5,770,توصيل بيانات سائق دعم معايير حالة.,16.68,54 سم × 93 سم × 63 سم,خشب,أصفر
27,مؤسسة الحلول الرقمية,ha8jc7xt@gmail.com,+966 528682067,طريق الملك فهد، القاهرة، 45458,بيانات نظام ملف مستندات فريق خطوة.,492.15,69,ألعاب,عمليات فني نظام مراجعة شحن مالي فاتورة. نجاح مستندات عمليات توصيل عمليات.,2023-07-27,2017-01-24,مريم الحربي,3,6,تأكيد نظام فريق عميل معايير ملف.,92.37,18 سم × 90 سم × 44 سم,حديد,أسود
28,مجموعة الفوزان,morn4wf4@outlook.com,+966 525245779,شارع التخصصي، دبي، 45936,تأكيد تأكيد حساب تسليم مراجعة مراجعة.,636.0,0,إلكترونيات,سائق تسليم ملف موافقة معايير موافقة عمليات خطوة. سائق نشط مالي خطوة نجاح تأكيد. توصيل نجاح موافقة حالة معالجة عميل معالجة نجاح نظام مستندات.,2018-09-05,2018-11-25,ياسمين حسن,1,8,عميل معالجة عمليات نجاح تحديث عميل.,82.15,34 سم × 74 سم × 62 سم,زجاج,أحمر
29,شركة الرياض للتجارة,ym4iey0i@outlook.com,+966 513661751,شارع التخصصي، القاهرة، 20213,تسليم نجاح نجاح فريق تحديث مستندات.,776.24,22,رياضة,موقع حالة تأكيد متابعة تحديث فريق توصيل. فني ملف سائق مراجعة فريق فريق شحن. موافقة فريق تحديث دعم تأكيد معايير عميل حالة فريق موافقة مستندات دعم.,2019-03-10,2024-11-14,محمد الشافعي,2,0,مراجعة نظام حالة تقرير دعم موقع.,35.41,14 سم × 95 سم × 48 سم,خشب,أزرق
30,شركة الرياض للتجارة,nphqdvin@solix-agent.ai,+966 562690470,شارع الملك عبد العزيز، القاهرة، 81463,عمليات موافقة تسليم حالة ملف سائق.,357.75,38,ملابس,متابعة سائق تسليم نظام دعم طلب شحن عمليات تأكيد فاتورة. خطوة خطوة تحديث موافقة نظام توصيل نجاح. معالجة عمليات دعم دعم معالجة نشط.,2021-02-26,2023-04-02,يوسف الشافعي,5,718,خطوة مستندات عميل موافقة معالجة فاتورة.,65.58,15 سم × 72 سم × 78 سم,حديد,أصفر
31,شركة التقنية المتقدمة,vqhfuvsl@solix-agent.ai,+966 519535859,شارع جامعة الدول العربية، جدة، 69180,توصيل حساب خطوة سائق شحن عمليات.,624.47,56,رياضة,تأكيد حساب موافقة سائق نظام. معالجة عمليات دعم خطوة معايير متابعة حالة عمليات حالة تأكيد فاتورة. تسليم معالجة تحديث سائق عميل ملف فني معالجة. فني موافقة دعم مستندات نشط.,2024-05-07,2025-10-15,منى الخالدي,3,9,فريق عميل معايير موافقة عميل تقرير.,53.73,87 سم × 62 سم × 40 سم,حديد,أحمر
32,مؤسسة الحلول الرقمية,8drikfod@outlook.com,+966 524430226,طريق الملك فهد، الإسكندرية، 49258,نشط فريق حالة تسليم نشط حساب.,755.44,80,رياضة,نظام فريق شحن متابعة عميل ملف فني موقع عمليات طلب. طلب توصيل دعم نجاح متابعة عمليات دعم خطوة. معايير طلب شحن نشط معايير موافقة. ملف معايير متابعة فاتورة معايير حالة مالي طلب طلب.,2016-07-09,2026-03-09,ليلى سليمان,4,66,حالة معايير فريق مستندات نشط موقع.,67.71,85 سم × 80 سم × 82 سم,زجاج,أزرق
33,شركة الرياض للتجارة,pt323ogt@solix-agent.ai,+966 596691921,طريق الملك فهد، الرياض، 87101,فاتورة حساب دعم سائق ملف موافقة.,794.58,33,إلكترونيات,نظام تأكيد بيانات ملف تأكيد موقع مراجعة. فريق معالجة موقع شحن موقع فاتورة. موقع موقع خطوة حساب معالجة متابعة فني دعم تأكيد فريق تأكيد. موقع موقع عميل طلب موافقة بيانات تقرير نظام فاتورة عمليات موقع مت,2023-09-09,2021-12-09,مريم رضوان,2,6,مراجعة فريق حالة تأكيد معالجة فاتورة.,68.27,53 سم × 24 سم × 26 سم,بلاستيك,أخضر
34,شركة التقنية المتقدمة,kqyihczm@datafactory.io,+966 562279601,شارع التخصصي، دبي، 49171,فاتورة ملف فريق فاتورة معايير مالي.,108.44,40,ألعاب,ملف نشط نجاح حساب معالجة نشط دعم موقع حساب. خطوة عمليات مالي شحن عمليات عمليات تحديث نظام.,2020-05-09,2023-05-25,عبدالله رضوان,3,3,مراجعة ملف معايير تحديث عمليات موافقة.,62.87,89 سم × 60 سم × 41 سم,زجاج,أحمر
35,مؤسسة الحلول الرقمية,fo7bvena@datafactory.io,+966 539755757,شارع التخصصي، جدة، 11866,بيانات دعم فاتورة حالة تحديث تقرير.,124.0,92,أثاث,دعم خطوة مراجعة تسليم سائق مراجعة فريق تسليم تحديث نجاح متابعة. تحديث نجاح دعم نظام مراجعة نجاح طلب شحن. فاتورة متابعة فريق موافقة مراجعة موافقة فاتورة معايير حالة نشط تحديث فني. طلب مالي مراجعة فاتور,2018-07-22,2016-10-22,ياسمين الشافعي,4,71,فني موافقة تسليم مستندات حساب فريق.,26.61,29 سم × 15 سم × 45 سم,بلاستيك,أسود
36,مجموعة الفوزان,93kj0x1u@solix-agent.ai,+966 513326928,شارع الملك عبد العزيز، جدة، 78187,تحديث فني معالجة موافقة فاتورة ملف.,591.64,72,رياضة,مالي نشط تأكيد تسليم حالة موافقة طلب نشط شحن. تقرير فني نظام مراجعة فني معالجة موقع.,2017-01-21,2025-01-14,عبدالله الغانم,1,0,حساب مالي دعم موافقة موقع خطوة.,3.9,65 سم × 89 سم × 71 سم,حديد,أصفر
37,شركة الرياض للتجارة,m65xwev0@gmail.com,+966 544969222,شارع التخصصي، الدمام، 93100,مستندات بيانات مالي فني خطوة بيانات.,295.36,12,ألعاب,حالة طلب معايير شحن عميل تأكيد فاتورة سائق طلب نجاح تسليم. تسليم عمليات نظام عمليات مراجعة توصيل خطوة توصيل مراجعة. مراجعة نجاح عميل مالي سائق فني تأكيد فاتورة خطوة نشط فني سائق.,2016-05-10,2018-12-23,خالد الحربي,4,23,حالة طلب سائق متابعة تسليم معالجة.,45.56,9 سم × 88 سم × 1 سم,بلاستيك,أزرق
38,مجموعة الفوزان,xgxspiwh@datafactory.io,+966 519415337,شارع العليا، الرياض، 87759,فريق معايير حالة حساب مراجعة فاتورة.,505.57,69,أثاث,تأكيد تأكيد سائق فريق مراجعة فريق مستندات مستندات دعم فريق مراجعة. فاتورة فريق بيانات تأكيد ملف شحن طلب معايير تقرير نشط بيانات حساب. عمليات معالجة تحديث معالجة تقرير تقرير معالجة موافقة خطوة فاتورة ح,2024-05-23,2016-04-17,مريم الغانم,3,9,تسليم دعم نظام مالي نشط بيانات.,89.1,8 سم × 88 سم × 63 سم,حديد,أحمر
39,شركة الرياض للتجارة,xsi6dgfx@solix-agent.ai,+966 563891689,طريق الملك فهد، الدمام، 44555,نجاح نظام مالي سائق تأكيد دعم.,241.59,5,رياضة,ملف خطوة مستندات تحديث سائق معالجة موقع شحن. سائق تحديث نشط توصيل حالة. نجاح متابعة طلب عميل نظام تحديث شحن مراجعة تسليم تقرير. مراجعة نشط مستندات فني مراجعة ملف تقرير.,2017-05-13,2025-07-23,فاطمة الرشيد,3,1,معايير شحن بيانات تحديث موافقة حساب.,56.95,11 سم × 81 سم × 8 سم,حديد,أخضر
40,شركة الرياض للتجارة,o3t8p3s2@outlook.com,+966 529343618,شارع العليا، دبي، 75804,مستندات مراجعة طلب تقرير خطوة ملف.,289.17,83,أثاث,خطوة طلب معايير حساب عميل تأكيد. معالجة بيانات تقرير خطوة معالجة فاتورة معالجة عمليات حساب توصيل.,2019-01-03,2023-04-13,نور حسن,1,1,خطوة نشط خطوة شحن خطوة تسليم.,83.24,35 سم × 35 سم × 33 سم,خشب,أصفر
41,مؤسسة الحلول الرقمية,bm4w9p1f@outlook.com,+966 544091219,طريق الملك فهد، مكة المكرمة، 43023,بيانات طلب عمليات نجاح توصيل معايير.,453.25,51,ألعاب,فريق فريق عميل حساب مراجعة. معالجة طلب بيانات فني معالجة نجاح مالي. ملف مراجعة مراجعة فريق فني طلب عميل فريق متابعة طلب مالي دعم. تحديث خطوة موقع معالجة دعم مراجعة نظام فني طلب.,2015-05-13,2022-03-20,أحمد صالح,4,39,شحن دعم نظام دعم ملف بيانات.,99.16,5 سم × 41 سم × 28 سم,بلاستيك,أصفر
42,مجموعة الفوزان,hzju7d3b@outlook.com,+966 572168706,طريق الملك فهد، الدمام، 28783,توصيل حساب توصيل حالة خطوة عميل.,159.91,2,ملابس,مستندات سائق مراجعة تسليم مالي سائق عمليات حالة متابعة. تأكيد موافقة عمليات مراجعة معايير حساب.,2020-06-07,2022-08-28,علي العتيبي,4,99,توصيل موقع فني مالي موافقة موافقة.,16.36,7 سم × 73 سم × 72 سم,بلاستيك,أحمر
43,مؤسسة الحلول الرقمية,2kkzaxue@datafactory.io,+966 553901631,طريق الملك فهد، دبي، 67673,سائق نجاح موافقة عمليات متابعة دعم.,531.39,80,ألعاب,طلب خطوة فاتورة طلب ملف مالي دعم. تحديث حالة طلب متابعة مراجعة تقرير نشط تحديث.,2025-09-27,2026-09-20,علي المصري,1,5,عميل فني معايير حالة حساب حساب.,69.18,12 سم × 34 سم × 33 سم,بلاستيك,أخضر
44,شركة التقنية المتقدمة,3zxvbfb5@solix-agent.ai,+966 547797494,شارع العليا، دبي، 39025,توصيل موافقة ملف تقرير مستندات دعم.,937.21,62,إلكترونيات,نظام متابعة متابعة خطوة ملف نجاح. فريق تأكيد حالة بيانات فريق مستندات موافقة. موافقة نشط بيانات فني موقع تقرير مراجعة.,2024-03-16,2015-08-18,ياسمين المصري,4,48,موقع عمليات عميل طلب حساب فني.,67.43,48 سم × 23 سم × 62 سم,زجاج,أزرق
45,مجموعة الفوزان,7icbksl3@example.com,+966 521798997,شارع التخصصي، مكة المكرمة، 54373,فني نجاح طلب موافقة مراجعة موافقة.,771.57,48,أثاث,فريق تقرير خطوة طلب مستندات تأكيد نشط حساب نشط تسليم خطوة. دعم نجاح تأكيد متابعة معايير حساب مالي تأكيد تأكيد فاتورة. معالجة معالجة توصيل خطوة معالجة طلب. تسليم نجاح مراجعة متابعة فريق تسليم شحن مستند,2024-07-24,2025-09-22,أحمد صالح,1,9,متابعة عميل مراجعة بيانات تقرير معالجة.,98.0,88 سم × 37 سم × 99 سم,خشب,أحمر
46,مؤسسة الحلول الرقمية,qqymq40e@gmail.com,+966 503415702,شارع التخصصي، جدة، 60504,بيانات تحديث موقع حساب عمليات سائق.,226.3,75,ملابس,معالجة بيانات فريق فاتورة نشط تأكيد شحن شحن مراجعة تحديث عمليات شحن. عمليات ملف بيانات عمليات عميل مراجعة تسليم متابعة. معايير فني تقرير سائق توصيل موقع مالي حساب معايير ملف فريق. فاتورة حالة سائق نشط,2016-01-07,2019-03-04,أحمد العتيبي,2,9,حالة تقرير معايير متابعة حالة نشط.,98.56,44 سم × 86 سم × 91 سم,خشب,أزرق
47,مجموعة الفوزان,vwrsywzc@outlook.com,+966 597149015,شارع التخصصي، جدة، 33733,موقع نجاح حساب حساب بيانات دعم.,317.84,46,أثاث,خطوة شحن تسليم تحديث تأكيد شحن سائق سائق تسليم مالي. ملف مالي نجاح بيانات موقع موافقة تحديث متابعة معالجة موافقة نشط. دعم ملف توصيل موقع فريق. بيانات معايير حساب خطوة عميل حساب معالجة.,2025-06-15,2017-02-22,خالد محمود,3,8,فاتورة شحن توصيل حساب بيانات مراجعة.,68.67,35 سم × 65 سم × 99 سم,خشب,أصفر
48,مجموعة الفوزان,ivz80nq9@example.com,+966 597191669,شارع الملك عبد العزيز، الدمام، 38878,فاتورة عميل نظام معالجة خطوة فني.,638.99,54,أثاث,توصيل معالجة عميل توصيل عميل خطوة طلب. فريق تقرير فريق تقرير تسليم تحديث نجاح مستندات تحديث طلب.,2015-10-10,2016-02-22,فاطمة الخالدي,2,4,تحديث عمليات حالة مستندات معالجة مراجعة.,24.36,47 سم × 78 سم × 3 سم,زجاج,أزرق
49,شركة التقنية المتقدمة,1nwol8ta@gmail.com,+966 556625431,شارع العليا، الدمام، 72025,تسليم معالجة معايير تحديث حالة مراجعة.,706.73,63,رياضة,تحديث طلب معالجة مالي دعم نشط مراجعة عمليات تأكيد فريق نجاح. خطوة دعم طلب تأكيد تأكيد شحن. معايير حساب عمليات نشط متابعة عميل نجاح متابعة مالي.,2023-11-06,2016-08-18,نور صالح,5,353,نظام موقع بيانات معايير عميل تقرير.,79.86,1 سم × 5 سم × 90 سم,بلاستيك,أخضر
50,مجموعة الفوزان,f80j4mp6@solix-agent.ai,+966 536674471,طريق الملك فهد، الرياض، 12196,عميل نظام تأكيد تحديث فني توصيل.,526.38,64,إلكترونيات,موقع تأكيد معالجة عمليات عميل معايير شحن نشط نظام. مستندات نشط معالجة فاتورة متابعة تقرير تحديث عميل. دعم مالي مالي موافقة مالي. ملف بيانات دعم حساب دعم ملف شحن سائق شحن طلب خطوة نظام.,2023-09-12,2022-08-26,سارة الحربي,5,599,نظام فاتورة مراجعة طلب مستندات فاتورة.,10.7,14 سم × 27 سم × 9 سم,بلاستيك,أسود
51,شركة الرياض للتجارة,pvqirjdj@solix-agent.ai,+966 518399179,شارع العليا، الإسكندرية، 84381,مراجعة معالجة موافقة توصيل متابعة مالي.,795.26,80,أثاث,موقع عمليات فني موقع معايير نجاح فاتورة عمليات ملف معالجة ملف. بيانات خطوة نظام فاتورة سائق.,2023-01-02,2026-04-05,ياسمين الخالدي,5,640,تأكيد موافقة نظام سائق شحن دعم.,78.07,79 سم × 15 سم × 90 سم,بلاستيك,أخضر
52,مجموعة الفوزان,zmc0nddb@datafactory.io,+966 563726368,شارع الملك عبد العزيز، القاهرة، 52974,حالة معايير فاتورة خطوة موقع تأكيد.,108.1,66,ألعاب,دعم شحن نظام حالة نظام. متابعة فاتورة نشط فني نجاح موافقة تأكيد معايير ملف مستندات نجاح.,2025-05-24,2026-11-20,سارة رضوان,1,7,عمليات نظام فني توصيل حساب نشط.,91.02,42 سم × 77 سم × 51 سم,خشب,أزرق
