hospital_id,hospital_name,email,phone_number,address,number_of_doctors,number_of_beds,hospital_type,establishment_date,notes,average_rating,price_per_day,total_capacity,number_of_nurses,number_of_departments,is_emergency_available
11,شركة التقنية المتقدمة,scjo1kg9@solix-agent.ai,+966 565057615,شارع التخصصي، دبي، 31706,266,998,حكومي,2021-08-22,بيانات مالي مستندات تسليم فريق. عمليات تسليم تقرير تسليم معايير.,2.12,1232,798,918,19,لا
12,شركة التقنية المتقدمة,r68ed672@solix-agent.ai,+966 508485962,شارع التخصصي، الدمام، 47439,903,1300,خاص,2020-06-19,فني عميل معايير نشط فني نظام تقرير تقرير. فريق تسليم متابعة تأكيد تسليم شحن نظام تحديث فريق معايير سائق. توصيل نظام موافقة نشط ملف تسليم مستندات فني خطوة. موقع مستندات تحديث تأكيد تسليم موافقة نجاح مع,4.47,3428,1040,562,6,نعم
13,مجموعة الفوزان,zh8j418c@gmail.com,+966 585543400,شارع العليا، الرياض، 39927,284,3303,جامعي,2023-03-12,شحن توصيل نشط توصيل بيانات مستندات فريق موقع توصيل حالة حالة. عميل فريق ملف توصيل معالجة تأكيد موقع تسليم مالي. موافقة فني نظام تأكيد عمليات سائق تسليم عميل مالي موافقة فريق فاتورة. تأكيد خطوة فريق فر,2.11,556,2642,1952,30,لا
14,مؤسسة الحلول الرقمية,qxagd64z@gmail.com,+966 582365685,طريق الملك فهد، مكة المكرمة، 82334,467,1820,خاص,2018-04-18,نشط ملف معايير دعم متابعة حساب دعم تقرير فني. ملف معايير نشط مراجعة عمليات طلب مستندات حالة. تأكيد ملف متابعة خطوة معالجة موافقة مراجعة حساب فني ملف. عمليات طلب نشط دعم نظام مالي تسليم مستندات شحن معا,3.07,5000,1456,1050,20,لا
15,مؤسسة الحلول الرقمية,ws01ilsr@datafactory.io,+966 523514934,شارع جامعة الدول العربية، دبي، 50544,408,4499,جامعي,2015-11-28,تسليم حالة حالة فريق نظام. تسليم موافقة دعم طلب فني عمليات بيانات مستندات حالة.,2.77,3539,3599,897,8,نعم
16,شركة الرياض للتجارة,ins9hdmi@gmail.com,+966 568139339,شارع التخصصي، الإسكندرية، 69774,940,3957,حكومي,2026-03-05,معالجة تأكيد نجاح عميل حالة معايير. طلب مراجعة تقرير فاتورة تقرير تسليم عمليات دعم معالجة تأكيد.,4.89,1903,3166,1341,42,لا
17,شركة الرياض للتجارة,wcf8on33@outlook.com,+966 513301682,شارع جامعة الدول العربية، الإسكندرية، 12330,598,2060,خاص,2021-06-27,تسليم مالي دعم طلب موقع موافقة حساب فاتورة عمليات. تحديث نظام شحن موافقة تحديث.,3.48,4214,1648,1355,17,نعم
18,مؤسسة الحلول الرقمية,fbx9rocd@outlook.com,+966 589721590,شارع التخصصي، القاهرة، 47303,731,3656,حكومي,2015-08-05,دعم عميل بيانات مراجعة تقرير سائق حالة. موافقة تقرير طلب عمليات ملف تسليم موافقة فريق نجاح مستندات. مستندات خطوة متابعة تحديث عميل سائق.,4.11,1312,2925,2568,17,نعم
19,مؤسسة الحلول الرقمية,ycrsk315@solix-agent.ai,+966 557534281,شارع الملك عبد العزيز، الدمام، 17570,806,245,حكومي,2017-04-08,مالي مراجعة بيانات عميل نظام طلب فاتورة نشط تقرير عمليات نظام. تأكيد عميل طلب معالجة موقع.,4.27,903,196,2827,9,نعم
20,شركة التقنية المتقدمة,etgr0n2a@datafactory.io,+966 576938632,شارع جامعة الدول العربية، الرياض، 47688,339,4366,خاص,2024-10-09,دعم فني خطوة نجاح عمليات نظام ملف تحديث. نشط ملف نظام دعم نشط معالجة بيانات فني نجاح نظام فاتورة تأكيد.,2.37,4112,3493,2134,14,نعم
21,مجموعة الفوزان,jgaie36g@datafactory.io,+966 589457862,طريق الملك فهد، الدمام، 34270,110,2173,حكومي,2024-07-02,حالة مراجعة خطوة مستندات سائق. تحديث فريق شحن مالي عمليات نشط.,1.47,2857,1738,1606,30,لا
22,شركة الرياض للتجارة,ttkgiuwv@datafactory.io,+966 533036616,شارع الملك عبد العزيز، جدة، 18848,198,3925,حكومي,2026-06-07,تسليم نجاح شحن فني دعم نجاح. نجاح نشط تأكيد متابعة عمليات معايير عميل مراجعة عميل مستندات سائق معايير. نشط سائق سائق بيانات متابعة معالجة خطوة شحن. طلب دعم ملف فريق موافقة ملف نشط موافقة تقرير نشط توص,1.69,3230,3140,2163,33,نعم
23,شركة التقنية المتقدمة,l0so8jt1@example.com,+966 574083193,شارع التخصصي، مكة المكرمة، 54320,622,3546,خاص,2019-07-05,خطوة نظام تقرير تقرير حالة خطوة مستندات تحديث مستندات. فاتورة خطوة موافقة نجاح نشط طلب ملف متابعة عمليات ملف مستندات نظام.,3.55,4327,2837,1771,34,لا
24,مجموعة الفوزان,v36gf8se@example.com,+966 541714429,شارع العليا، القاهرة، 39222,107,486,خاص,2025-07-25,معالجة تسليم ملف موقع موافقة فني موافقة. فاتورة مستندات نظام تقرير ملف تحديث شحن شحن موقع فريق حالة فاتورة. موافقة حساب تسليم مالي شحن بيانات دعم مراجعة حالة موافقة.,1.34,1326,389,1575,23,نعم
25,شركة الرياض للتجارة,2ssluol2@outlook.com,+966 596255134,شارع جامعة الدول العربية، الدمام، 19204,384,2575,خاص,2020-11-11,موافقة فاتورة شحن تأكيد فاتورة طلب تحديث عمليات. معالجة تسليم دعم تسليم تحديث شحن تقرير نظام. معالجة موقع عميل حساب نشط نجاح نظام نجاح نشط فاتورة.,2.6,4234,2060,594,46,لا
26,مؤسسة الحلول الرقمية,lyl4s7do@yahoo.com,+966 521266676,شارع العليا، دبي، 79662,793,1883,جامعي,2023-07-06,فريق بيانات معايير نظام فريق نجاح مستندات نشط موافقة. موقع مستندات دعم فريق ملف تسليم تأكيد نجاح تقرير.,4.32,1916,1506,399,34,نعم
27,شركة التقنية المتقدمة,10o8xb7v@gmail.com,+966 567213483,شارع الملك عبد العزيز، الرياض، 54575,681,2115,خاص,2022-11-08,نجاح نشط خطوة نجاح تحديث عميل فريق عميل معالجة معايير. معايير نشط حساب نجاح تحديث تأكيد عميل توصيل طلب فريق مستندات موافقة. موافقة ملف نجاح معالجة بيانات توصيل متابعة عميل مراجعة نشط.,3.48,3170,1692,1272,19,لا
28,شركة التقنية المتقدمة,iyxep9tr@datafactory.io,+966 576944731,شارع جامعة الدول العربية، الدمام، 63520,664,3668,خاص,2018-05-03,سائق نشط تقرير شحن تحديث موقع. توصيل عمليات تأكيد نجاح فني شحن خطوة موافقة تأكيد معايير توصيل موافقة. معالجة شحن فاتورة سائق سائق مستندات تأكيد سائق مالي فاتورة. عمليات خطوة حساب ملف سائق فريق.,3.62,1533,2934,1820,15,نعم
29,شركة التقنية المتقدمة,8mckcab2@solix-agent.ai,+966 503315145,طريق الملك فهد، الدمام، 36497,377,2058,حكومي,2021-11-21,متابعة عميل معايير تحديث شحن متابعة معايير نظام حساب توصيل نظام. معايير عميل بيانات مراجعة خطوة.,2.4,1997,1646,1550,29,لا
30,مجموعة الفوزان,hqnxz3kg@gmail.com,+966 528777205,شارع التخصصي، مكة المكرمة، 28344,597,3536,حكومي,2016-01-06,مالي تسليم فاتورة ملف حساب. فني موقع شحن سائق فريق طلب طلب ملف نظام. طلب نجاح نشط حالة نظام تأكيد سائق خطوة دعم عميل طلب.,3.26,422,2829,1526,5,نعم
31,شركة الرياض للتجارة,er1kscuk@outlook.com,+966 568520366,شارع التخصصي، جدة، 54328,68,551,جامعي,2025-05-05,حالة نظام مراجعة بيانات مالي نجاح توصيل سائق نشط تسليم تحديث سائق. عميل فريق توصيل مالي مراجعة تسليم فريق توصيل مراجعة نظام توصيل دعم. موافقة مالي مستندات دعم نجاح موافقة.,1.0,4786,441,2475,13,نعم
32,شركة التقنية المتقدمة,pkwo54it@gmail.com,+966 565985058,شارع التخصصي، الدمام، 27153,161,746,خاص,2022-03-22,مراجعة عمليات طلب خطوة موقع شحن حساب فني نجاح موافقة مراجعة. موافقة موافقة مراجعة دعم طلب خطوة تأكيد. معالجة نظام معايير سائق طلب شحن نظام. فني معالجة فريق حساب فاتورة.,1.73,590,597,1562,44,لا
33,مؤسسة الحلول الرقمية,dbzzy5dq@gmail.com,+966 595206547,شارع الملك عبد العزيز، مكة المكرمة، 37173,585,3347,جامعي,2020-12-14,متابعة تقرير شحن معالجة موقع تقرير. نشط بيانات نشط بيانات فريق نظام.,3.51,1202,2678,1977,43,لا
34,شركة الرياض للتجارة,t1sm7sus@solix-agent.ai,+966 587661471,شارع التخصصي، الدمام، 41074,647,1310,جامعي,2017-11-11,حساب مالي موقع مالي خطوة سائق. فريق معالجة بيانات تسليم فاتورة تسليم مراجعة معايير فاتورة. طلب نظام نشط تأكيد طلب توصيل بيانات متابعة بيانات بيانات معالجة تأكيد. حساب دعم نجاح معايير ملف تحديث فريق.,3.71,4307,1048,1642,18,نعم
35,مؤسسة الحلول الرقمية,21qcvp4j@gmail.com,+966 517846339,شارع الملك عبد العزيز، دبي، 10727,916,3903,خاص,2018-01-22,تحديث سائق عميل فني موقع. نظام دعم نشط موقع معالجة شحن عميل شحن مراجعة موقع شحن. توصيل تسليم شحن نظام تقرير تحديث فني.,4.76,886,3122,786,9,لا
36,شركة الرياض للتجارة,a0beube6@example.com,+966 546691489,شارع الملك عبد العزيز، مكة المكرمة، 24605,341,4480,حكومي,2018-04-21,سائق متابعة بيانات شحن تسليم. موقع مستندات سائق فني فني توصيل طلب تحديث فريق. نجاح سائق خطوة سائق نشط طلب دعم فاتورة تسليم فني عمليات.,2.44,1007,3584,1984,38,نعم
37,مجموعة الفوزان,w5bffgna@yahoo.com,+966 594877456,طريق الملك فهد، دبي، 54575,536,823,خاص,2021-11-07,نشط تسليم مستندات موافقة مستندات. تسليم شحن دعم موقع عميل سائق تقرير تقرير فاتورة مالي تحديث حالة.,3.02,843,658,2033,22,نعم
38,شركة التقنية المتقدمة,nq7dwolg@outlook.com,+966 595754826,شارع التخصصي، جدة، 61849,369,1700,جامعي,2016-11-05,دعم توصيل مالي دعم سائق. نجاح سائق دعم حالة عمليات موقع. خطوة توصيل تسليم مستندات طلب موقع حالة بيانات عمليات معالجة. فاتورة تسليم فني تحديث معايير تقرير تأكيد.,2.66,2787,1360,2046,37,نعم
39,مجموعة الفوزان,xz22g04h@outlook.com,+966 587632291,شارع العليا، دبي، 94003,71,3323,خاص,2022-11-17,فني حساب متابعة نجاح متابعة نظام. تأكيد فريق حساب متابعة معايير مراجعة مراجعة تأكيد. حساب بيانات نجاح فاتورة نظام مالي معايير.,1.13,2986,2658,1929,39,لا
40,شركة الرياض للتجارة,7frthquh@solix-agent.ai,+966 548156354,شارع التخصصي، مكة المكرمة، 11089,701,2883,حكومي,2025-01-27,نجاح حساب مراجعة ملف متابعة تسليم فريق توصيل طلب تقرير. مستندات حالة شحن نظام طلب.,4.09,2843,2306,1537,10,لا
41,شركة التقنية المتقدمة,96o62hwn@example.com,+966 558573651,شارع الملك عبد العزيز، الدمام، 77484,484,275,خاص,2016-11-27,مراجعة توصيل مستندات شحن خطوة سائق. موقع مالي نظام توصيل سائق موافقة بيانات فني متابعة نظام متابعة. بيانات معالجة متابعة موافقة حالة مراجعة طلب توصيل تأكيد موقع نظام. دعم دعم معايير حالة شحن سائق بيان,2.97,3500,220,521,37,نعم
42,شركة الرياض للتجارة,f2hw76ag@gmail.com,+966 593404317,شارع جامعة الدول العربية، الدمام، 60291,986,2256,خاص,2025-07-05,معالجة مستندات خطوة حساب مالي فريق فاتورة توصيل. فني سائق ملف ملف فني نجاح توصيل عمليات تسليم فني فني فني. حالة دعم ملف بيانات حالة فريق معايير تأكيد موقع فريق.,4.77,3451,1805,128,9,لا
43,شركة الرياض للتجارة,lbade8d1@datafactory.io,+966 547462439,شارع الملك عبد العزيز، جدة، 81976,986,1704,جامعي,2026-04-10,مستندات تحديث معايير طلب معالجة ملف. ملف بيانات دعم موقع موافقة شحن نجاح تحديث حالة طلب فني بيانات.,5.0,3125,1363,1093,10,نعم
44,شركة الرياض للتجارة,yf8j1krt@yahoo.com,+966 557053577,شارع الملك عبد العزيز، الدمام، 55587,332,2140,خاص,2019-01-09,موافقة خطوة عمليات معايير عميل عميل سائق عميل تأكيد تقرير موافقة موافقة. نجاح ملف تسليم فني نشط ملف نظام. طلب نشط مستندات تقرير توصيل ملف.,2.47,1571,1712,1804,8,نعم
45,مؤسسة الحلول الرقمية,jwr7adry@example.com,+966 586402324,طريق الملك فهد، جدة، 93977,195,490,جامعي,2018-12-14,نشط فريق حساب معايير تسليم فني مالي نشط. متابعة شحن موقع حساب معالجة فاتورة تسليم نظام مالي مراجعة.,1.49,1218,392,486,15,لا
46,مؤسسة الحلول الرقمية,bjbs63k0@datafactory.io,+966 567229629,شارع جامعة الدول العربية، جدة، 62586,429,4621,حكومي,2022-02-27,تقرير نجاح تأكيد نشط تحديث معايير حساب فريق سائق سائق مراجعة. مالي تحديث فاتورة معايير نشط نشط مالي مستندات سائق موافقة مراجعة. خطوة تسليم مراجعة مستندات فني نشط حالة نظام تحديث تأكيد. متابعة تسليم مو,2.64,1410,3697,1505,45,نعم
47,شركة التقنية المتقدمة,gxvd0je1@yahoo.com,+966 508902985,شارع العليا، جدة، 65422,112,2740,حكومي,2026-05-08,تقرير معالجة فريق فني تحديث تحديث. فريق فريق فريق حالة حالة. موافقة تحديث خطوة نجاح خطوة نشط معالجة دعم موافقة فني مالي فريق.,1.4,422,2192,1856,37,لا
48,شركة التقنية المتقدمة,vibb0f2c@gmail.com,+966 515669411,شارع الملك عبد العزيز، جدة، 98545,405,3255,خاص,2015-12-05,توصيل فني نظام خطوة طلب متابعة موقع. مراجعة فاتورة نجاح مراجعة معايير تأكيد. نشط خطوة فريق نظام معايير نشط فاتورة معالجة شحن حالة. خطوة تسليم خطوة خطوة معايير معايير خطوة بيانات تقرير سائق حالة.,2.84,4118,2604,1287,39,لا
49,مجموعة الفوزان,bi016wnv@yahoo.com,+966 561841678,طريق الملك فهد، مكة المكرمة، 89961,895,1479,خاص,2024-01-22,تقرير دعم فني ملف متابعة بيانات حساب عميل عميل موافقة توصيل. فني موقع حالة معالجة معالجة توصيل. تقرير تسليم تقرير نظام توصيل متابعة شحن.,4.62,1463,1183,2576,44,نعم
50,مؤسسة الحلول الرقمية,g2f33odx@example.com,+966 507541258,طريق الملك فهد، الإسكندرية، 37254,346,1073,خاص,2016-09-27,معايير بيانات فني حساب تسليم عميل تأكيد توصيل مستندات توصيل تقرير مستندات. حالة طلب مستندات مالي ملف. موافقة متابعة شحن فاتورة مستندات تقرير فاتورة معايير بيانات نظام فاتورة.,2.53,2543,858,2347,31,نعم
51,شركة التقنية المتقدمة,e4xka4q2@solix-agent.ai,+966 506085817,شارع العليا، مكة المكرمة، 64193,702,866,جامعي,2021-04-28,شحن تحديث دعم موافقة تحديث تقرير. شحن تأكيد مستندات توصيل نجاح فني فاتورة عميل عمليات حالة فاتورة بيانات. مراجعة متابعة ملف نجاح تحديث دعم ملف. فاتورة تقرير ملف عميل معالجة عميل موافقة موقع دعم معايير,4.06,3505,693,99,28,نعم
52,شركة التقنية المتقدمة,1i448xe3@outlook.com,+966 568100213,شارع الملك عبد العزيز، جدة، 29998,264,3351,حكومي,2019-06-11,فاتورة حساب حساب نظام مستندات دعم فريق تحديث دعم معالجة. تسليم تحديث متابعة نجاح تسليم عميل موافقة نظام متابعة.,1.91,2438,2681,933,8,نعم
53,مجموعة الفوزان,4td8rjf7@solix-agent.ai,+966 512716610,طريق الملك فهد، القاهرة، 35790,377,2849,حكومي,2022-08-01,نظام تأكيد فاتورة دعم موافقة مراجعة مالي فريق بيانات. دعم تحديث نشط معايير متابعة متابعة تحديث معالجة تأكيد نجاح تحديث. موقع فاتورة مستندات موقع حساب مستندات تحديث معايير حالة.,2.51,3500,2279,833,30,لا
54,شركة الرياض للتجارة,2rl0cdym@outlook.com,+966 588840143,شارع التخصصي، مكة المكرمة، 94757,417,4750,جامعي,2016-07-15,حساب ملف شحن فاتورة طلب معالجة متابعة. فاتورة سائق طلب معايير بيانات معايير موافقة فاتورة نجاح. فريق تحديث تقرير تحديث دعم عمليات متابعة. طلب عمليات ملف معالجة فاتورة متابعة فريق تسليم فريق معالجة حسا,3.01,1569,3800,2386,30,نعم
55,مجموعة الفوزان,clmutaoj@yahoo.com,+966 536493959,شارع الملك عبد العزيز، جدة، 83719,20,2445,خاص,2020-12-13,مستندات مالي فريق بيانات متابعة حالة دعم. فريق فني مالي معايير عميل خطوة متابعة طلب حساب معالجة.,1.0,2015,1956,163,19,نعم
56,شركة الرياض للتجارة,s3rlgmy0@gmail.com,+966 503466719,طريق الملك فهد، دبي، 49435,981,901,حكومي,2015-03-11,نشط فني عمليات معايير بيانات تحديث. تسليم متابعة حالة معالجة سائق حالة توصيل تقرير. سائق نجاح سائق مستندات عميل حساب موقع موقع. خطوة مستندات نظام نجاح طلب.,5.0,1730,721,377,21,لا
57,مجموعة الفوزان,fq0k6zso@datafactory.io,+966 531578504,طريق الملك فهد، مكة المكرمة، 37285,747,3999,جامعي,2023-06-12,طلب دعم نشط عميل موقع. تحديث دعم نظام تقرير فاتورة توصيل مراجعة موافقة. ملف بيانات سائق تسليم عمليات مراجعة عمليات توصيل فني طلب دعم تقرير.,3.96,2881,3199,1532,36,لا
58,مجموعة الفوزان,40iyfdxe@datafactory.io,+966 513976490,شارع الملك عبد العزيز، الإسكندرية، 60779,589,77,خاص,2016-01-18,حساب فني متابعة فاتورة معايير بيانات بيانات متابعة توصيل تأكيد. معايير مراجعة سائق فاتورة متابعة حساب.,3.33,2294,62,2403,41,نعم
59,شركة التقنية المتقدمة,vj9vglvu@datafactory.io,+966 553603413,شارع العليا، القاهرة، 80694,703,1742,خاص,2020-11-16,موافقة شحن عمليات توصيل مستندات خطوة بيانات معالجة. متابعة حساب مستندات عمليات طلب حالة نجاح شحن شحن حساب موقع. معايير موقع تسليم موافقة تأكيد ملف فريق تحديث معايير نظام ملف.,3.9,2990,1394,2455,20,نعم
60,شركة الرياض للتجارة,ywukcwfw@example.com,+966 596117837,شارع العليا، جدة، 67209,488,3818,حكومي,2024-04-25,موافقة فاتورة معايير شحن مستندات خطوة تأكيد فني عميل فاتورة فريق معالجة. شحن فريق تقرير مستندات حالة توصيل دعم بيانات مالي خطوة. طلب حالة تحديث نجاح موقع فريق تأكيد متابعة توصيل سائق نظام بيانات. نظام,2.98,1879,3054,92,10,لا
61,مؤسسة الحلول الرقمية,mvsmtpn0@example.com,+966 583610394,شارع الملك عبد العزيز، مكة المكرمة، 72614,243,2153,حكومي,2024-02-07,معالجة فني مستندات خطوة موقع فريق. معالجة ملف عمليات عمليات بيانات شحن موقع معالجة موافقة موقع متابعة. بيانات تقرير نظام معالجة فاتورة حالة.,2.03,1364,1722,914,35,نعم
62,شركة التقنية المتقدمة,18fd1p7p@datafactory.io,+966 539688071,طريق الملك فهد، الرياض، 99286,562,958,جامعي,2018-04-18,متابعة عميل تسليم فاتورة عمليات موافقة معايير تسليم مالي. فني تأكيد حالة فريق نجاح مراجعة. شحن عمليات تأكيد حالة تحديث فني.,3.05,4306,766,566,16,نعم
63,شركة التقنية المتقدمة,rj0h14gp@example.com,+966 524070350,طريق الملك فهد، الإسكندرية، 68749,525,3105,جامعي,2015-07-16,خطوة نظام تأكيد نجاح موقع معايير ملف مراجعة توصيل عميل. مالي شحن مستندات حساب مراجعة.,3.06,1536,2484,1502,42,نعم
64,شركة التقنية المتقدمة,glj52eyi@solix-agent.ai,+966 513485558,شارع الملك عبد العزيز، جدة، 39259,253,158,خاص,2016-01-25,سائق توصيل حالة مراجعة نشط نشط. موقع فريق بيانات دعم موافقة.,2.12,3934,126,965,13,نعم
65,مجموعة الفوزان,eavnfsts@datafactory.io,+966 534759600,شارع العليا، مكة المكرمة، 38385,477,216,جامعي,2016-11-23,توصيل مالي موافقة مالي نجاح بيانات طلب فاتورة تحديث بيانات دعم. موقع فاتورة تسليم معالجة تسليم سائق.,3.0,3397,173,1669,34,لا
66,شركة الرياض للتجارة,p7fxg3us@yahoo.com,+966 528552281,شارع العليا، الرياض، 82373,223,1682,حكومي,2026-05-11,خطوة مستندات حساب ملف عميل عميل موقع معالجة فاتورة. مراجعة موقع خطوة نشط تحديث.,1.89,617,1346,1312,46,نعم
67,شركة الرياض للتجارة,r0oy2k50@solix-agent.ai,+966 549821256,شارع الملك عبد العزيز، جدة، 36226,378,3687,خاص,2022-06-03,بيانات تحديث عمليات فني مستندات. نشط متابعة نشط مالي تسليم موافقة فني.,2.75,1369,2950,393,29,لا
68,شركة التقنية المتقدمة,pb67mi53@outlook.com,+966 555691658,شارع الملك عبد العزيز، جدة، 27012,290,2584,خاص,2022-09-15,حساب ملف خطوة فني موقع. شحن موقع فاتورة تقرير تقرير. بيانات متابعة تقرير دعم توصيل عمليات موقع حساب تأكيد.,2.04,3346,2067,1762,6,لا
69,مجموعة الفوزان,jc5exoat@gmail.com,+966 577778179,شارع العليا، الرياض، 14931,845,3934,حكومي,2015-07-21,تحديث عميل سائق نظام موافقة. متابعة مالي مالي نجاح تقرير. مستندات فني طلب فاتورة خطوة تأكيد حساب. تقرير عميل فريق شحن تقرير نجاح ملف عميل.,4.59,3500,3147,1795,33,لا
70,مؤسسة الحلول الرقمية,gvr479oc@outlook.com,+966 528819909,شارع جامعة الدول العربية، دبي، 87143,501,1628,جامعي,2018-04-14,معايير تسليم فاتورة معايير تأكيد مستندات دعم بيانات حساب تقرير عميل تسليم. متابعة فريق طلب فريق عمليات معايير طلب موقع ملف مراجعة. فاتورة طلب فني توصيل عمليات تقرير متابعة.,3.28,4829,1302,979,10,لا
71,مؤسسة الحلول الرقمية,gma2wyt6@yahoo.com,+966 526378267,شارع التخصصي، دبي، 42103,270,4694,جامعي,2019-02-17,فاتورة توصيل سائق فريق دعم موافقة مالي خطوة حالة. دعم دعم حالة فاتورة تقرير موافقة. طلب ملف فني مراجعة ملف تقرير. تحديث عمليات حالة مستندات مراجعة دعم.,2.09,2693,3755,469,46,لا
72,شركة التقنية المتقدمة,zhf7arbi@datafactory.io,+966 572590578,شارع جامعة الدول العربية، مكة المكرمة، 25484,783,2744,خاص,2026-05-11,موقع بيانات موافقة شحن شحن مالي مراجعة معالجة مستندات فاتورة. مستندات بيانات دعم حالة مراجعة نظام مستندات ملف نشط حالة فريق تقرير.,4.34,4154,2195,1674,33,لا
73,شركة التقنية المتقدمة,7k8vz2o4@gmail.com,+966 568365623,شارع الملك عبد العزيز، الرياض، 88067,249,1815,خاص,2026-01-12,عميل تحديث نظام نجاح مراجعة. حساب حالة موافقة فني مراجعة تسليم. فاتورة تأكيد عميل معايير نجاح خطوة بيانات شحن موقع متابعة حالة. موافقة تحديث مالي مراجعة خطوة متابعة فريق بيانات فاتورة توصيل شحن.,1.94,1521,1452,613,34,نعم
74,شركة الرياض للتجارة,4fh1ud06@yahoo.com,+966 542754772,طريق الملك فهد، الدمام، 14385,322,1819,خاص,2022-09-26,نجاح مراجعة خطوة شحن معالجة خطوة حالة فريق معالجة بيانات تحديث. نظام حساب معالجة توصيل معالجة. مستندات مراجعة نجاح معايير سائق موقع معايير. تأكيد موافقة نظام طلب عمليات مراجعة ملف حالة موقع.,2.34,3926,1455,1717,48,لا
75,مجموعة الفوزان,4amn22ky@example.com,+966 501713860,شارع جامعة الدول العربية، مكة المكرمة، 22313,964,1363,جامعي,2026-07-05,خطوة نجاح حالة ملف مستندات شحن معايير ملف مستندات. مستندات توصيل طلب فريق معايير شحن سائق خطوة معالجة متابعة فني. خطوة حالة فريق نجاح حساب خطوة فني توصيل نظام سائق.,4.8,3336,1090,733,28,لا
76,شركة التقنية المتقدمة,yytracy8@gmail.com,+966 521390092,شارع الملك عبد العزيز، جدة، 54575,316,966,خاص,2023-12-13,بيانات نظام دعم خطوة موقع خطوة مالي دعم نشط. خطوة معالجة معايير خطوة نشط فني تسليم. موافقة حساب مراجعة سائق معايير.,2.22,2397,773,1314,35,لا
